fffffgfgfgfgffff ffffhhkjmqlujqjg
fffffgfgfgfgfgff ffffhhkjmqlujkgm
fffffgfgfgfgfhff ffffhhkjmqlumumn
fffffgfgfgfgfiff ffffhhkjmqlughll
fffffgfgfgfgfjff ffffhhkjmqluliij
fffffgfgfgfgfkff ffffhhkjmqlugqiq
fffffgfgfgfgflff ffffhhkjmqlukkmr
fffffgfgfgfgfmff ffffhhkjmqlumimt
fffffgfgfgfgfnff ffffhhkjmqlujpmo
fffffgfgfgfgfoff ffffhhkjmqluimfm
fffffgfgfgfgfpff ffffhhkjmqluklif
fffffgfgfgfgfqff ffffhhkjmqlujogt
fffffgfgfgfgfrff ffffhhkjmqlumski
fffffgfgfgfgfsff ffffhhkjmqluipjn
fffffgfgfgfgftff ffffhhkjmqluftgm
fffffgfgfgfgfuff ffffhhkjmqlugtjh
fffffgfgfgfggfff ffffhhkjmqluhmlt
fffffgfgfgfgggff ffffhhkjmqlumnjo
fffffgfgfgfgghff ffffhhkjmqluisml
fffffgfgfgfggiff ffffhhkjmqlumkjn
fffffgfgfgfggjff ffffhhkjmqlukjgf
fffffgfgfgfggkff ffffhhkjmqluhijh
fffffgfgfgfgglff ffffhhkjmqlujlmh
fffffgfgfgfggmff ffffhhkjmqlujnin
fffffgfgfgfggnff ffffhhkjmqlumhfg
fffffgfgfgfggoff ffffhhkjmqlufofq
fffffgfgfgfggpff ffffhhkjmqluitjt
fffffgfgfgfggqff ffffhhkjmqlujjjj
fffffgfgfgfggrff ffffhhkjmqluirkn
fffffgfgfgfggsff ffffhhkjmqlulfiu
fffffgfgfgfggtff ffffhhkjmqlufrkr
fffffgfgfgfgguff ffffhhkjmqlugoim
fffffgfgfgfghfff ffffhhkjmqlujiki
fffffgfgfgfghgff ffffhhkjmqlulufg
fffffgfgfgfghhff ffffhhkjmqlugkmi
fffffgfgfgfghiff ffffhhkjmqluhsfk
fffffgfgfgfghjff ffffhhkjmqlujgin
fffffgfgfgfghkff ffffhhkjmqluhqll
fffffgfgfgfghlff ffffhhkjmqlulqii
fffffgfgfgfghmff ffffhhkjmqluloih
fffffgfgfgfghnff ffffhhkjmqlukhhl
fffffgfgfgfghoff ffffhhkjmqluknhf
fffffgfgfgfghpff ffffhhkjmqlugngp
fffffgfgfgfghqff ffffhhkjmqluhjjt
fffffgfgfgfghrff ffffhhkjmqlumjmt
fffffgfgfgfghsff ffffhhkjmqlufnkk
fffffgfgfgfghtff ffffhhkjmqlumpkl
fffffgfgfgfghuff ffffhhkjmqlummmg
fffffgfgfgfgifff ffffhhkjmqluhujt
fffffgfgfgfgigff ffffhhkjmqlufikr
fffffgfgfgfgihff ffffhhkjmqluhogn
fffffgfgfgfgiiff ffffhhkjmqluhrmu
fffffgfgfgfgijff ffffhhkjmqluglkh
